abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-T50,abs-error-T50-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10
0.2238,0.2807863166666665,0.10685,0.1401092038888886,0.0723,0.10224808785714287,0.1382,0.16177342388888885,0.07355,0.1033832699999998,0.073,0.10699849999999997,0.08515,0.12528754253968272,0.07465,0.12814031865079353,0.0755,0.1419667871428572,0.49505,0.49499960000000304,0.0723,SMM,2,0.10224808785714287,SMM,2,2,4,5,6,7,1,8,3,0,9
0.1833,0.20780354666666642,0.14185,0.2015673833333335,0.12925,0.1173271400000002,0.18705,0.1742121633333327,0.13245,0.13311362,0.12885,0.1223606566666666,0.12225,0.14015179285714308,0.1325,0.1288267066666665,0.14185,0.14279286000000008,0.495,0.49499980000000304,0.12225,MS,6,0.1173271400000002,SMM,2,2,5,7,4,6,8,3,1,0,9
0.2978,0.2832287666666668,0.11705,0.1324018507142859,0.0481,0.08704426999999985,0.0863,0.18758569999999974,0.0406,0.07928284,0.04205,0.08783283666666661,0.06665,0.09908059999999988,0.04715,0.06909085999999985,0.04735,0.07014873333333328,0.495,0.49500000000000305,0.0406,DyS,4,0.06909085999999985,MAX,7,7,8,4,2,5,6,1,3,0,9
0.4364,0.32761409999999935,0.21505,0.1605888666666668,0.0856499999999999,0.10201030999999972,0.20885,0.23182099999999925,0.0731,0.09676978000000004,0.06485,0.09998299166666651,0.10365,0.14503907619047618,0.08965,0.09904444999999978,0.07145,0.09197990000000023,0.495,0.49500000000000305,0.06485,SORD,5,0.09197990000000023,X,8,8,4,7,5,2,6,1,3,0,9
0.3335,0.23243829999999965,0.273,0.2277549199999998,0.1285,0.14335829999999988,0.3968,0.21829994999999947,0.3192,0.15118506666666687,0.1567,0.1429018249999998,0.2019,0.13200151666666654,0.1946,0.14567236499999986,0.12995,0.16438049499999993,0.495,0.4949987000000029,0.1285,SMM,2,0.13200151666666654,MS,6,6,5,2,7,4,8,3,1,0,9
0.3864,0.37082999999999844,0.19735,0.3007073749999997,0.21715,0.22630059999999952,0.4368999999999999,0.2926760999999992,0.29675,0.2304993000000014,0.20715,0.1052089000000003,0.2319999999999999,0.29706129999999953,0.19625,0.1290497000000004,0.1818499999999999,0.1368874000000005,0.495,0.4950051000000023,0.1818499999999999,X,8,0.1052089000000003,SORD,5,5,7,8,2,4,3,6,1,0,9
0.2271,0.21348560000000003,0.086,0.1814225333333335,0.10975,0.1299438000000001,0.3847,0.24277835000000006,0.2941499999999999,0.17120990000000064,0.0951999999999999,0.11836799999999965,0.0929,0.1372614999999999,0.26865,0.13530147499999992,0.23785,0.11997089166666657,0.49495,0.49498820000000276,0.086,ACC,1,0.11836799999999965,SORD,5,5,8,2,7,6,4,1,0,3,9
0.3777,0.24601489999999965,0.4511,0.14129838999999977,0.115,0.10339655833333304,0.3885499999999999,0.2927506499999998,0.18855,0.2132833500000002,0.1112,0.10145294333333327,0.19925,0.11939346666666667,0.1157499999999999,0.13506852999999977,0.11855,0.10802872500000027,0.495,0.494999300000003,0.1112,SORD,5,0.10145294333333327,SORD,5,5,2,8,6,7,1,4,0,3,9
0.1499,0.1651026999999997,0.0947,0.11670999999999977,0.13875,0.09793249999999994,0.17455,0.2119629499999997,0.1514,0.10809135000000024,0.16125,0.09625298333333315,0.11795,0.0985630833333332,0.0947,0.1521735000000001,0.15845,0.13312284999999993,0.495,0.49499630000000255,0.0947,ACC,1,0.09625298333333315,SORD,5,5,2,6,4,1,8,7,0,3,9
0.3856,0.3844247999999992,0.1769,0.18920920000000013,0.1729,0.14708849999999996,0.21265,0.22082143999999965,0.0698,0.13304793333333334,0.1416,0.11958668333333336,0.1714,0.14720135000000023,0.08025,0.08168729999999984,0.08675,0.09200177500000015,0.495,0.4949991000000029,0.0698,DyS,4,0.08168729999999984,MAX,7,7,8,5,4,2,6,1,3,0,9
