abs-error-CC,abs-error-CC-predicted,abs-error-ACC,abs-error-ACC-predicted,abs-error-PACC,abs-error-PACC-predicted,abs-error-PCC,abs-error-PCC-predicted,abs-error-SMM,abs-error-SMM-predicted,abs-error-HDy,abs-error-HDy-predicted,abs-error-DyS,abs-error-DyS-predicted,abs-error-SORD,abs-error-SORD-predicted,abs-error-MS,abs-error-MS-predicted,abs-error-MS2,abs-error-MS2-predicted,abs-error-MAX,abs-error-MAX-predicted,abs-error-X,abs-error-X-predicted,abs-error-ideal,quantifier-ideal,quantifier-ideal-num,abs-error-recommended,quantifier-recommended,quantifier-recommended-num,rank-1,rank-2,rank-3,rank-4,rank-5,rank-6,rank-7,rank-8,rank-9,rank-10,rank-11,rank-12
0.1832,0.22247195833333336,0.05115,0.11267812500000005,0.06924999999999999,0.14841849999999998,0.2022,0.23365830000000024,0.0507,0.07470314285714286,0.09570000000000001,0.15456828333333342,0.05055,0.10086382500000003,0.04745,0.08255379166666671,0.052199999999999996,0.11318378333333336,0.22644999999999998,0.26176675000000016,0.060149999999999995,0.09808569047619048,0.0554,0.09548224166666666,0.04745,SORD,7,0.07470314285714286,SMM,4,4,7,11,10,6,1,8,2,5,0,3,9
0.19905,0.35283449999999994,0.24215,0.3148755,0.1721,0.3449880000000002,0.24004999999999999,0.2754395,0.12605,0.15062299999999998,0.15245,0.20896349999999997,0.1334,0.2197449999999999,0.12585000000000002,0.1289708333333334,0.1784,0.279201,0.3971,0.391315,0.20010000000000003,0.20733649999999992,0.2396,0.2756315,0.12585000000000002,SORD,7,0.1289708333333334,SORD,7,7,4,10,5,6,3,11,8,1,2,0,9
0.28845,0.2574060833333333,0.0691,0.08180232500000001,0.07915,0.18310699999999996,0.2829,0.2684316,0.047599999999999996,0.06054112500000003,0.20850000000000002,0.1731598750000001,0.055099999999999996,0.103534125,0.044950000000000004,0.05339650000000004,0.05595,0.06450999999999997,0.26785,0.2779875,0.051100000000000007,0.08803383333333337,0.044199999999999996,0.10387680000000002,0.044199999999999996,X,11,0.05339650000000004,SORD,7,7,4,8,1,10,6,11,5,2,0,3,9
0.5,0.3830149999999998,0.5,0.2590694999999999,0.37799999999999995,0.21635449999999984,0.37799999999999995,0.32087425000000025,0.08564999999999999,0.12765385,0.24285,0.18409750000000005,0.5,0.15931449999999991,0.08275,0.10505495833333332,0.5,0.272691,0.5,0.3122478999999997,0.2872,0.18682162500000005,0.2872,0.17740958333333331,0.08275,SORD,7,0.10505495833333332,SORD,7,7,4,6,11,5,10,2,1,8,9,3,0
0.27,0.20292699999999994,0.16895,0.14944100000000005,0.3455,0.18106099999999997,0.24945,0.2369696666666666,0.09040000000000001,0.12298450000000001,0.17855000000000001,0.26037000000000005,0.064,0.167131,0.09140000000000001,0.11309900000000002,0.09300000000000001,0.11412099999999997,0.32905,0.285361875,0.1384,0.1209600000000001,0.41255000000000003,0.1464993,0.064,DyS,6,0.11309900000000002,SORD,7,7,8,10,4,11,1,6,2,0,3,5,9
0.38815,0.46516350000000023,0.09465,0.43297850000000004,0.35215,0.33251499999999984,0.4645,0.43202199999999985,0.12895,0.2802209999999998,0.31605,0.30676349999999997,0.16495,0.3373255000000001,0.1315,0.33107699999999973,0.16005,0.4326380000000002,0.3111,0.31232850000000006,0.06735000000000001,0.19169899999999984,0.06735000000000001,0.2163754999999998,0.06735000000000001,MAX,10,0.19169899999999984,MAX,10,10,11,4,5,9,7,2,6,3,8,1,0
0.33715000000000006,0.202147,0.1259,0.13306700000000013,0.1609,0.21708699999999997,0.3023,0.19239249999999986,0.17015,0.11757850000000003,0.47275,0.18493724999999997,0.43655,0.13651949999999996,0.1464,0.1489649166666666,0.17365000000000003,0.12863,0.2723,0.24727299999999988,0.15035,0.11929000000000006,0.07525,0.18646349999999998,0.07525,X,11,0.11757850000000003,SMM,4,4,10,8,1,6,7,5,11,3,0,2,9
0.5,0.32332549999999993,0.5,0.16115066666666678,0.37835,0.17402799999999988,0.37835,0.2922108333333333,0.0876,0.11050949999999993,0.309,0.3023705000000003,0.337,0.13544849999999997,0.0643,0.12268900000000002,0.5,0.10623050000000006,0.5,0.2748894999999998,0.5,0.08159500000000003,0.5,0.13418549999999996,0.0643,SORD,7,0.08159500000000003,MAX,10,10,8,4,7,11,6,1,2,9,3,5,0
0.12955,0.19410949999999993,0.0659,0.12360000000000003,0.22175,0.21737000000000017,0.18434999999999999,0.17886516666666655,0.06755,0.115064,0.15635,0.11928150000000003,0.05145,0.11607150000000001,0.05355000000000001,0.11181475000000002,0.0649,0.103117,0.27685,0.2379429999999999,0.06245,0.11498650000000003,0.09040000000000001,0.14844099999999993,0.05145,DyS,6,0.103117,MS,8,8,7,10,4,6,5,1,11,3,0,2,9
0.5,0.44231150000000014,0.5,0.29196600000000006,0.43575,0.37088600000000005,0.43575,0.37517700000000004,0.25135,0.12174649999999991,0.263,0.2452679,0.263,0.19877399999999998,0.21739999999999998,0.11872800000000003,0.5,0.2871178333333332,0.5,0.34629800000000005,0.5,0.11818524999999996,0.5,0.14104400000000003,0.21739999999999998,SORD,7,0.11818524999999996,MAX,10,10,7,4,11,6,5,8,1,9,2,3,0
0.49939999999999996,0.4128595000000002,0.4918,0.23048750000000015,0.3433,0.35099200000000025,0.4905,0.43673150000000033,0.40909999999999996,0.14819749999999993,0.43215000000000003,0.3160195000000003,0.4756,0.2358850000000001,0.4868,0.15691000000000016,0.49895,0.2657414999999996,0.24960000000000002,0.34697749999999977,0.13140000000000002,0.24864650000000016,0.13140000000000002,0.2829925,0.13140000000000002,MAX,10,0.14819749999999993,SMM,4,4,7,1,6,10,8,11,5,9,2,0,3
0.43395000000000006,0.372486,0.30079999999999996,0.30137183333333323,0.17335,0.24330983333333348,0.3901,0.3624935,0.1449,0.11476066666666662,0.45155,0.30219500000000027,0.32255,0.1737757499999999,0.17525,0.08372508333333334,0.23855,0.27208350000000003,0.28059999999999996,0.396347,0.05815000000000001,0.22006233333333333,0.19835,0.235623,0.05815000000000001,MAX,10,0.08372508333333334,SORD,7,7,4,6,10,11,2,8,1,5,3,0,9
0.1975,0.20731753333333336,0.1638,0.12093600000000006,0.18795,0.20401899999999998,0.2235,0.22108625,0.12435,0.09180403333333334,0.1843,0.14029050000000004,0.12465,0.07355992500000003,0.13055,0.08306000000000005,0.127,0.08842899999999997,0.2999,0.3099175,0.19795000000000001,0.09257283333333335,0.18635000000000002,0.10406593333333335,0.12435,SMM,4,0.07355992500000003,DyS,6,6,7,8,4,10,11,1,5,2,0,3,9
0.5,0.4258580000000001,0.5,0.34012350000000013,0.21975,0.3319225000000002,0.39935000000000004,0.36408199999999985,0.38785000000000003,0.16476499999999983,0.47240000000000004,0.34705050000000015,0.45439999999999997,0.2748094999999999,0.48465,0.16356499999999996,0.5,0.3083520000000001,0.31705,0.37535799999999997,0.0661,0.22482675000000008,0.13545,0.27446950000000003,0.0661,MAX,10,0.16356499999999996,SORD,7,7,4,10,11,6,8,2,1,5,3,9,0
0.39299999999999996,0.3203085,0.32155,0.32408249999999994,0.49924999999999997,0.28076550000000017,0.26195,0.27159250000000024,0.18635000000000002,0.18275325000000003,0.307,0.3024905,0.26505,0.26970350000000015,0.16865,0.18313074999999998,0.28385,0.28311649999999994,0.34945,0.3843769999999997,0.11245000000000001,0.2516715,0.12895,0.2647864999999999,0.11245000000000001,MAX,10,0.18275325000000003,SMM,4,4,7,10,11,6,3,2,8,5,0,1,9
0.0,0.047109999999999985,0.0,0.016113000000000002,0.0209,0.09846599999999997,0.0209,0.07747100000000007,0.02645,0.032452999999999996,0.0,0.06852049999999997,0.0,0.033471,0.0,0.03547500000000001,0.0,0.03681650000000001,0.0,0.0426806,0.0,0.012709000000000002,0.0,0.05783249999999998,0.0,CC,0,0.012709000000000002,MAX,10,10,1,4,6,7,8,9,0,11,5,3,2
