iter	Passed	Remaining
419	2358	3257
420	2363	3250
421	2368	3243
422	2374	3238
423	2379	3232
424	2383	3224
425	2389	3219
426	2394	3212
427	2399	3206
428	2405	3201
429	2410	3195
430	2414	3187
431	2420	3182
432	2425	3176
433	2430	3169
434	2436	3164
435	2441	3158
436	2445	3150
437	2451	3146
438	2457	3140
439	2461	3132
440	2467	3127
441	2472	3121
442	2476	3114
443	2482	3108
444	2487	3102
445	2492	3095
446	2498	3090
447	2503	3084
448	2507	3077
449	2513	3072
450	2518	3066
451	2522	3058
452	2528	3053
453	2534	3047
454	2538	3040
455	2544	3035
456	2550	3029
457	2555	3023
458	2561	3019
459	2566	3013
460	2570	3005
461	2577	3000
462	2581	2994
463	2586	2987
464	2592	2983
465	2597	2976
466	2602	2969
467	2608	2964
468	2613	2958
469	2617	2951
470	2623	2946
471	2628	2940
472	2632	2933
473	2638	2928
474	2643	2921
475	2647	2914
476	2653	2909
477	2658	2903
478	2662	2896
479	2669	2891
480	2673	2885
481	2678	2878
482	2684	2873
483	2689	2866
484	2693	2860
485	2699	2855
486	2704	2848
487	2710	2843
488	2714	2836
489	2719	2830
490	2725	2825
491	2729	2818
492	2733	2811
493	2740	2806
494	2745	2801
495	2749	2794
496	2755	2789
497	2760	2782
498	2764	2775
499	2770	2770
500	2775	2764
501	2779	2757
502	2785	2752
503	2790	2746
504	2795	2740
505	2800	2734
506	2805	2728
507	2809	2721
508	2816	2716
509	2820	2710
510	2824	2703
511	2830	2698
512	2835	2691
513	2839	2685
514	2845	2680
515	2850	2674
516	2854	2667
517	2861	2662
518	2866	2656
519	2870	2649
520	2877	2645
521	2881	2638
522	2886	2632
523	2892	2627
524	2897	2621
525	2901	2614
526	2909	2611
527	2914	2605
528	2919	2599
529	2924	2593
530	2929	2587
531	2934	2581
532	2939	2575
533	2944	2569
534	2949	2563
535	2954	2557
536	2959	2551
537	2963	2545
538	2969	2539
539	2973	2533
540	2978	2527
541	2984	2521
542	2988	2515
543	2993	2509
544	2999	2504
545	3003	2497
546	3008	2491
547	3014	2486
548	3018	2479
549	3023	2473
550	3029	2468
551	3034	2462
552	3038	2456
553	3044	2451
554	3049	2445
555	3053	2438
556	3060	2433
557	3064	2427
