iter	RMSE
0	0.1726973517
1	0.1701453724
2	0.1677341248
3	0.1657251218
4	0.1634690327
5	0.1614090927
6	0.1599636762
7	0.1579181721
8	0.1554185646
9	0.1533952955
10	0.1510317369
11	0.1491516488
12	0.1469205708
13	0.1451169822
14	0.1435509661
15	0.1418828406
16	0.1399844828
17	0.1381286968
18	0.136497879
19	0.1348377963
20	0.1330588105
21	0.1312925738
22	0.1296604587
23	0.1279373116
24	0.1263148933
25	0.1251391995
26	0.1236750515
27	0.1219855555
28	0.1208216969
29	0.1193270573
30	0.1178542996
31	0.1164633532
32	0.1150042977
33	0.1135775216
34	0.1123672302
35	0.1112552696
36	0.1097820743
37	0.108482566
38	0.1071094856
39	0.1057330714
40	0.1042853847
41	0.1031758738
42	0.1021346359
43	0.1008215974
44	0.09990678192
45	0.09874964496
46	0.09769398264
47	0.09699511604
48	0.09563467485
49	0.09444556258
50	0.09354924825
51	0.0925523291
52	0.09177231047
53	0.09072989474
54	0.08995601153
55	0.08924754724
56	0.08829657396
57	0.08721384133
58	0.08641462653
59	0.08551004994
60	0.08477848179
61	0.08401713622
62	0.08337765667
63	0.08278173508
64	0.08195783098
65	0.08115031834
66	0.08050893748
67	0.07975466586
68	0.07901318092
69	0.07822126057
70	0.07745692197
71	0.07665129204
72	0.07604903347
73	0.07537585963
74	0.07479113139
75	0.07406678549
76	0.07352371646
77	0.07310526825
78	0.07257538702
79	0.07201010171
80	0.0713406499
81	0.0707581463
82	0.07023211558
83	0.06971599188
84	0.06906321297
85	0.06845914026
86	0.06794768558
87	0.06731059694
88	0.06668335476
89	0.06613884659
90	0.06543561568
91	0.06489874143
92	0.06436445066
93	0.06384954796
94	0.06340679342
95	0.06284711038
96	0.06233826174
97	0.06169650181
98	0.0612903807
99	0.06079837505
100	0.06041981857
101	0.0599579347
102	0.05947384069
103	0.05906988077
104	0.05872440423
105	0.05841052887
106	0.05803379973
107	0.05752532631
108	0.05712345962
109	0.0566960888
110	0.05636414739
111	0.05594925386
112	0.05566930125
113	0.05524478106
114	0.05491803396
115	0.05447361353
116	0.05402274953
117	0.0537606552
118	0.05340513859
119	0.05296973186
120	0.05255891638
121	0.05218306508
122	0.05183362886
123	0.05150318982
124	0.05107876023
125	0.05076638541
126	0.05042225129
127	0.05008321622
128	0.04967810997
129	0.04934306945
130	0.04898767853
131	0.04858057693
132	0.0482907363
133	0.04803453572
134	0.0477496837
135	0.04741761042
136	0.047053888
137	0.04678137164
138	0.04659766669
139	0.04628763039
140	0.0460025209
141	0.04573380139
142	0.04545053126
143	0.045126674
144	0.04479730398
145	0.04455703275
146	0.04434494908
147	0.04404025815
148	0.04375426319
149	0.04345467897
150	0.04312342729
151	0.04282903974
152	0.04257553314
153	0.04236902018
154	0.04205132007
155	0.04180182522
156	0.04158760741
157	0.04133585064
158	0.04118599424
159	0.04101624148
160	0.04091598288
161	0.04066270805
162	0.04049859248
163	0.04028011657
164	0.04004532837
165	0.03991934693
166	0.03971440477
167	0.03956595742
