Method,Dataset,MAE
CC,1508_user-knowledge,0.1303
CC,1510_wdbc,0.01665
CC,1511_wholesale-customers,0.0538999999999999
CC,1512_heart-long-beach,0.5
CC,1519_robot-failures-lp4,0.3148999999999999
CC,1520_robot-failures-lp5,0.2978
CC,1523_vertebra-column,0.00995
CC,1526_wall-robot-navigation,0.16845
CC,1527_volcanoes-a1,0.2118
CC,1528_volcanoes-a2,0.217
CC,1529_volcanoes-a3,0.2162
CC,1530_volcanoes-a4,0.20975
CC,1535_volcanoes-b5,0.34765
CC,1538_volcanoes-d1,0.5
CC,1539_volcanoes-d2,0.5
CC,1540_volcanoes-d3,0.4853499999999999
CC,1541_volcanoes-d4,0.47485
CC,1547_autoUniv-au1-1000,0.5
CC,1559_breast-tissue,0.25215
CC,1565_heart-h,0.1448
CC,1566_hill-valley,0.2146
CC,1570_wilt,0.3625
CC,1600_SPECTF,0.25295
CC,16_mfeat-karhunen,0.02845
CC,182_satimage,0.02135
CC,187_wine,0.02535
CC,18_mfeat-morphological,0.0086
CC,20_mfeat-pixel,0.0204
CC,22_mfeat-zernike,0.03705
CC,23_cmc,0.22735
CC,28_optdigits,0.05325
CC,292_Australian,0.0786
CC,294_satellite_image,0.02075
CC,30_page-blocks,0.1417
CC,311_oil_spill,0.22195
CC,312_scene,0.02845
CC,316_yeast_ml8,0.5
CC,329_hayes-roth,0.2161
CC,333_monks-problems-1,0.1877499999999999
CC,334_monks-problems-2,0.5
CC,335_monks-problems-3,0.02555
CC,336_SPECT,0.32205
CC,36_segment,0.0103
CC,375_JapaneseVowels,0.0592
CC,377_synthetic_control,0.0
CC,37_diabetes,0.173
CC,40474_thyroid-allbp,0.1582
CC,40475_thyroid-allhyper,0.16365
CC,40496_LED-display-domain-7digit,0.2196999999999999
CC,40733_yeast,0.36655
CC,40877_seeds,0.011
CC,40_sonar,0.0917999999999999
CC,43_haberman,0.38775
CC,44_spambase,0.0483
CC,450_analcatdata_lawsuit,0.33525
CC,4538_GesturePhaseSegmentationProcessed,0.3703
CC,458_analcatdata_authorship,0.0052
CC,461_analcatdata_creditscore,0.02155
CC,463_backache,0.5
CC,464_prnn_synth,0.05615
CC,48_tae,0.2656
CC,53_heart-statlog,0.1422
CC,54_vehicle,0.0291
CC,59_ionosphere,0.1339499999999999
CC,60_waveform-5000,0.0768
CC,61_iris,0.0
CC,679_rmftsa_sleepdata,0.5
CC,694_diggle_table_a2,0.03675
CC,AedesQuinx,0.10295
CC,AedesSex,0.0151
CC,anuranCalls,0.0098
CC,ArabicDigit,0.0131
CC,BNG,0.09005
CC,click-prediction,0.03975
CC,cmc,0.4985
CC,covtype_reduced,0.22745
CC,default_credit_card_clients,0.1285
CC,eeg,0.3728
CC,HTRU,0.2963
CC,jm1-processed,0.4313499999999999
CC,letter-recognition,0.5
CC,magic,0.1835
CC,mozilla,0.0954
CC,namao,0.0416
CC,occupancy,0.0094
CC,phoneme,0.24645
CC,spambase,0.0491
CC,winetype,0.004
DyS,1043_ada_agnostic,0.05055
DyS,1048_jEdit_4,0.1334
DyS,1049_pc4,0.0550999999999999
DyS,1050_pc3,0.5
DyS,1054_mc2,0.064
DyS,1056_mc1,0.16495
DyS,1061_ar4,0.43655
DyS,1065_kc3,0.337
DyS,1066_kc1-binary,0.05145
DyS,1068_pc1,0.263
DyS,1069_pc2,0.4756
DyS,1071_mw1,0.32255
DyS,1073_jEdit_4,0.12465
DyS,1075_datatrieve,0.4543999999999999
DyS,1115_teachingAssistant,0.26505
DyS,1121_badges2,0.0
DyS,1167_pc1_req,0.1619
DyS,11_balance-scale,0.022
DyS,12_mfeat-factors,0.0084
DyS,1456_appendicitis,0.27835
DyS,1460_banana,0.1765
DyS,1462_banknote-authentication,0.00515
DyS,1464_blood-transfusion-service-center,0.08265
DyS,1465_breast-tissue,0.08945
DyS,1466_cardiotocography,0.0
DyS,1467_climate-model-simulation-crashes,0.317
DyS,1473_fertility,0.5
DyS,1475_first-order-theorem-proving,0.0776
DyS,1479_hill-valley,0.04285
DyS,1484_lsvt,0.10305
DyS,1485_madelon,0.16005
DyS,1487_ozone-level-8hr,0.1091
DyS,1488_parkinsons,0.0608999999999999
DyS,1489_phoneme,0.0487
DyS,1490_planning-relax,0.5
DyS,1494_qsar-biodeg,0.0451
DyS,1495_qualitative-bankruptcy,0.0251
DyS,1496_ringnorm,0.0509
DyS,1497_wall-robot-navigation,0.04595
DyS,1498_sa-heart,0.067
DyS,14_mfeat-fourier,0.0104
DyS,1501_semeion,0.01465
DyS,1504_steel-plates-fault,0.0012
DyS,1506_thoracic-surgery,0.281
DyS,1507_twonorm,0.00815
DyS,1508_user-knowledge,0.02625
DyS,1510_wdbc,0.0098
DyS,1511_wholesale-customers,0.0317
DyS,1512_heart-long-beach,0.482
DyS,1519_robot-failures-lp4,0.05935
DyS,1520_robot-failures-lp5,0.27855
DyS,1523_vertebra-column,0.01075
DyS,1526_wall-robot-navigation,0.05915
DyS,1527_volcanoes-a1,0.03405
DyS,1528_volcanoes-a2,0.09325
DyS,1529_volcanoes-a3,0.07445
DyS,1530_volcanoes-a4,0.0449
DyS,1535_volcanoes-b5,0.0809
DyS,1538_volcanoes-d1,0.5
DyS,1539_volcanoes-d2,0.5
DyS,1540_volcanoes-d3,0.0599
DyS,1541_volcanoes-d4,0.0975
DyS,1547_autoUniv-au1-1000,0.41155
DyS,1559_breast-tissue,0.1565
DyS,1565_heart-h,0.0852999999999999
DyS,1566_hill-valley,0.1041
DyS,1570_wilt,0.0465
DyS,1600_SPECTF,0.07125
DyS,16_mfeat-karhunen,0.024
DyS,182_satimage,0.0079
DyS,187_wine,0.0264
DyS,18_mfeat-morphological,0.0086
DyS,20_mfeat-pixel,0.0158
DyS,22_mfeat-zernike,0.0483
DyS,23_cmc,0.0948
DyS,28_optdigits,0.02245
DyS,292_Australian,0.0309
DyS,294_satellite_image,0.0113
DyS,30_page-blocks,0.0283999999999999
DyS,311_oil_spill,0.0481
DyS,312_scene,0.01185
DyS,316_yeast_ml8,0.337
DyS,329_hayes-roth,0.05605
DyS,333_monks-problems-1,0.0981
DyS,334_monks-problems-2,0.5
DyS,335_monks-problems-3,0.01495
DyS,336_SPECT,0.1802
DyS,36_segment,0.0045
DyS,375_JapaneseVowels,0.01325
DyS,377_synthetic_control,0.0035
DyS,37_diabetes,0.06795
DyS,40474_thyroid-allbp,0.05225
DyS,40475_thyroid-allhyper,0.0631
DyS,40496_LED-display-domain-7digit,0.16835
DyS,40733_yeast,0.0984999999999999
DyS,40877_seeds,0.0143
DyS,40_sonar,0.04885
DyS,43_haberman,0.2000499999999999
DyS,44_spambase,0.0201
DyS,450_analcatdata_lawsuit,0.2239999999999999
DyS,4538_GesturePhaseSegmentationProcessed,0.09645
DyS,458_analcatdata_authorship,0.0062
DyS,461_analcatdata_creditscore,0.0506
DyS,463_backache,0.482
DyS,464_prnn_synth,0.0281499999999999
DyS,48_tae,0.3072
DyS,53_heart-statlog,0.1538
DyS,54_vehicle,0.01935
DyS,59_ionosphere,0.0559
DyS,60_waveform-5000,0.0278
DyS,61_iris,0.0
DyS,679_rmftsa_sleepdata,0.5
DyS,694_diggle_table_a2,0.0162
DyS,AedesQuinx,0.03915
DyS,AedesSex,0.0105
DyS,anuranCalls,0.0058499999999999
DyS,ArabicDigit,0.0089
DyS,BNG,0.01965
DyS,click-prediction,0.0152
DyS,cmc,0.1293
DyS,covtype_reduced,0.092
DyS,default_credit_card_clients,0.0539
DyS,eeg,0.0807499999999999
DyS,HTRU,0.1413
DyS,jm1-processed,0.09785
DyS,letter-recognition,0.49155
DyS,magic,0.0518
DyS,mozilla,0.0369
DyS,namao,0.0163
DyS,occupancy,0.0073
DyS,phoneme,0.0554
DyS,spambase,0.0204
DyS,winetype,0.0045
HDy,1043_ada_agnostic,0.0957
HDy,1048_jEdit_4,0.15245
HDy,1049_pc4,0.2085
HDy,1050_pc3,0.24285
HDy,1054_mc2,0.17855
HDy,1056_mc1,0.31605
HDy,1061_ar4,0.47275
HDy,1065_kc3,0.309
HDy,1066_kc1-binary,0.15635
HDy,1068_pc1,0.263
HDy,1069_pc2,0.43215
HDy,1071_mw1,0.45155
HDy,1073_jEdit_4,0.1843
HDy,1075_datatrieve,0.4724
HDy,1115_teachingAssistant,0.307
HDy,1121_badges2,0.0
HDy,1167_pc1_req,0.2003
HDy,11_balance-scale,0.02915
HDy,12_mfeat-factors,0.0149
HDy,1456_appendicitis,0.3671999999999999
HDy,1460_banana,0.0654
HDy,1462_banknote-authentication,0.00845
HDy,1464_blood-transfusion-service-center,0.2327
HDy,1465_breast-tissue,0.3621
HDy,1466_cardiotocography,0.01665
HDy,1467_climate-model-simulation-crashes,0.317
HDy,1473_fertility,0.5
HDy,1475_first-order-theorem-proving,0.086
HDy,1479_hill-valley,0.0486
HDy,1484_lsvt,0.08395
HDy,1485_madelon,0.1579
HDy,1487_ozone-level-8hr,0.1876
HDy,1488_parkinsons,0.17495
HDy,1489_phoneme,0.06165
HDy,1490_planning-relax,0.5
HDy,1494_qsar-biodeg,0.0356
HDy,1495_qualitative-bankruptcy,0.0736
HDy,1496_ringnorm,0.06875
HDy,1497_wall-robot-navigation,0.0556
HDy,1498_sa-heart,0.0852
HDy,14_mfeat-fourier,0.0231
HDy,1501_semeion,0.05225
HDy,1504_steel-plates-fault,0.00815
HDy,1506_thoracic-surgery,0.281
HDy,1507_twonorm,0.0083
HDy,1508_user-knowledge,0.035
HDy,1510_wdbc,0.012
HDy,1511_wholesale-customers,0.02675
HDy,1512_heart-long-beach,0.482
HDy,1519_robot-failures-lp4,0.05905
HDy,1520_robot-failures-lp5,0.4188
HDy,1523_vertebra-column,0.0124
HDy,1526_wall-robot-navigation,0.05785
HDy,1527_volcanoes-a1,0.0694
HDy,1528_volcanoes-a2,0.2005
HDy,1529_volcanoes-a3,0.15835
HDy,1530_volcanoes-a4,0.18265
HDy,1535_volcanoes-b5,0.21065
HDy,1538_volcanoes-d1,0.5
HDy,1539_volcanoes-d2,0.5
HDy,1540_volcanoes-d3,0.11085
HDy,1541_volcanoes-d4,0.1718499999999999
HDy,1547_autoUniv-au1-1000,0.276
HDy,1559_breast-tissue,0.19235
HDy,1565_heart-h,0.16715
HDy,1566_hill-valley,0.0917999999999999
HDy,1570_wilt,0.1195
HDy,1600_SPECTF,0.21075
HDy,16_mfeat-karhunen,0.04545
HDy,182_satimage,0.0141999999999999
HDy,187_wine,0.0364
HDy,18_mfeat-morphological,0.0157
HDy,20_mfeat-pixel,0.0177
HDy,22_mfeat-zernike,0.05525
HDy,23_cmc,0.1659
HDy,28_optdigits,0.0416
HDy,292_Australian,0.02895
HDy,294_satellite_image,0.01295
HDy,30_page-blocks,0.05465
HDy,311_oil_spill,0.2512999999999999
HDy,312_scene,0.01315
HDy,316_yeast_ml8,0.337
HDy,329_hayes-roth,0.0716
HDy,333_monks-problems-1,0.07185
HDy,334_monks-problems-2,0.5
HDy,335_monks-problems-3,0.01495
HDy,336_SPECT,0.2585
HDy,36_segment,0.0156
HDy,375_JapaneseVowels,0.0346
HDy,377_synthetic_control,0.02265
HDy,37_diabetes,0.06935
HDy,40474_thyroid-allbp,0.05445
HDy,40475_thyroid-allhyper,0.0613
HDy,40496_LED-display-domain-7digit,0.30835
HDy,40733_yeast,0.1164
HDy,40877_seeds,0.0325
HDy,40_sonar,0.07145
HDy,43_haberman,0.3371
HDy,44_spambase,0.0242499999999999
HDy,450_analcatdata_lawsuit,0.34875
HDy,4538_GesturePhaseSegmentationProcessed,0.1588
HDy,458_analcatdata_authorship,0.01485
HDy,461_analcatdata_creditscore,0.1346
HDy,463_backache,0.482
HDy,464_prnn_synth,0.02975
HDy,48_tae,0.3077499999999999
HDy,53_heart-statlog,0.20725
HDy,54_vehicle,0.01885
HDy,59_ionosphere,0.09595
HDy,60_waveform-5000,0.0365
HDy,61_iris,0.0
HDy,679_rmftsa_sleepdata,0.5
HDy,694_diggle_table_a2,0.0643
HDy,AedesQuinx,0.0511
HDy,AedesSex,0.01365
HDy,anuranCalls,0.0062
HDy,ArabicDigit,0.0107
HDy,BNG,0.0352
HDy,click-prediction,0.01845
HDy,cmc,0.128
HDy,covtype_reduced,0.17065
HDy,default_credit_card_clients,0.0664
HDy,eeg,0.1361
HDy,HTRU,0.14425
HDy,jm1-processed,0.1496
HDy,letter-recognition,0.0949499999999999
HDy,magic,0.08355
HDy,mozilla,0.04305
HDy,namao,0.02205
HDy,occupancy,0.01655
HDy,phoneme,0.07605
HDy,spambase,0.025
HDy,winetype,0.00615
MAX,1043_ada_agnostic,0.0601499999999999
MAX,1048_jEdit_4,0.2001
MAX,1049_pc4,0.0511
MAX,1050_pc3,0.2872
MAX,1054_mc2,0.1384
MAX,1056_mc1,0.06735
MAX,1061_ar4,0.15035
MAX,1065_kc3,0.5
MAX,1066_kc1-binary,0.06245
MAX,1068_pc1,0.5
MAX,1069_pc2,0.1314
MAX,1071_mw1,0.05815
MAX,1073_jEdit_4,0.19795
MAX,1075_datatrieve,0.0661
MAX,1115_teachingAssistant,0.11245
MAX,1121_badges2,0.0
MAX,1167_pc1_req,0.19435
MAX,11_balance-scale,0.01905
MAX,12_mfeat-factors,0.0068
MAX,1456_appendicitis,0.13685
MAX,1460_banana,0.1717
MAX,1462_banknote-authentication,0.0083
MAX,1464_blood-transfusion-service-center,0.0949499999999999
MAX,1465_breast-tissue,0.18945
MAX,1466_cardiotocography,0.0
MAX,1467_climate-model-simulation-crashes,0.5
MAX,1473_fertility,0.5
MAX,1475_first-order-theorem-proving,0.0942
MAX,1479_hill-valley,0.09945
MAX,1484_lsvt,0.1637
MAX,1485_madelon,0.1593
MAX,1487_ozone-level-8hr,0.0596999999999999
MAX,1488_parkinsons,0.09065
MAX,1489_phoneme,0.066
MAX,1490_planning-relax,0.5
MAX,1494_qsar-biodeg,0.0648
MAX,1495_qualitative-bankruptcy,0.0361
MAX,1496_ringnorm,0.0518
MAX,1497_wall-robot-navigation,0.06185
MAX,1498_sa-heart,0.09985
MAX,14_mfeat-fourier,0.0007
MAX,1501_semeion,0.0228
MAX,1504_steel-plates-fault,0.00395
MAX,1506_thoracic-surgery,0.5
MAX,1507_twonorm,0.01085
MAX,1508_user-knowledge,0.02865
MAX,1510_wdbc,0.01475
MAX,1511_wholesale-customers,0.0455
MAX,1512_heart-long-beach,0.5
MAX,1519_robot-failures-lp4,0.0575
MAX,1520_robot-failures-lp5,0.1764
MAX,1523_vertebra-column,0.03625
MAX,1526_wall-robot-navigation,0.0743
MAX,1527_volcanoes-a1,0.0471
MAX,1528_volcanoes-a2,0.049
MAX,1529_volcanoes-a3,0.0588999999999999
MAX,1530_volcanoes-a4,0.04365
MAX,1535_volcanoes-b5,0.04125
MAX,1538_volcanoes-d1,0.5
MAX,1539_volcanoes-d2,0.5
MAX,1540_volcanoes-d3,0.0605
MAX,1541_volcanoes-d4,0.08045
MAX,1547_autoUniv-au1-1000,0.3281
MAX,1559_breast-tissue,0.28675
MAX,1565_heart-h,0.05715
MAX,1566_hill-valley,0.12895
MAX,1570_wilt,0.0437
MAX,1600_SPECTF,0.08425
MAX,16_mfeat-karhunen,0.01765
MAX,182_satimage,0.0116999999999999
MAX,187_wine,0.0301
MAX,18_mfeat-morphological,0.00695
MAX,20_mfeat-pixel,0.01615
MAX,22_mfeat-zernike,0.03685
MAX,23_cmc,0.10975
MAX,28_optdigits,0.01705
MAX,292_Australian,0.03105
MAX,294_satellite_image,0.01385
MAX,30_page-blocks,0.0313
MAX,311_oil_spill,0.04135
MAX,312_scene,0.01255
MAX,316_yeast_ml8,0.5
MAX,329_hayes-roth,0.09255
MAX,333_monks-problems-1,0.09135
MAX,334_monks-problems-2,0.5
MAX,335_monks-problems-3,0.01475
MAX,336_SPECT,0.1157
MAX,36_segment,0.0095
MAX,375_JapaneseVowels,0.01695
MAX,377_synthetic_control,0.0
MAX,37_diabetes,0.0915
MAX,40474_thyroid-allbp,0.0713
MAX,40475_thyroid-allhyper,0.0778
MAX,40496_LED-display-domain-7digit,0.1273
MAX,40733_yeast,0.09625
MAX,40877_seeds,0.03465
MAX,40_sonar,0.0635
MAX,43_haberman,0.16405
MAX,44_spambase,0.025
MAX,450_analcatdata_lawsuit,0.256
MAX,4538_GesturePhaseSegmentationProcessed,0.12365
MAX,458_analcatdata_authorship,0.00275
MAX,461_analcatdata_creditscore,0.02875
MAX,463_backache,0.5
MAX,464_prnn_synth,0.0581
MAX,48_tae,0.3069
MAX,53_heart-statlog,0.1051
MAX,54_vehicle,0.0281499999999999
MAX,59_ionosphere,0.0656
MAX,60_waveform-5000,0.03085
MAX,61_iris,0.0
MAX,679_rmftsa_sleepdata,0.5
MAX,694_diggle_table_a2,0.01515
MAX,AedesQuinx,0.04875
MAX,AedesSex,0.01145
MAX,anuranCalls,0.00875
MAX,ArabicDigit,0.01145
MAX,BNG,0.01925
MAX,click-prediction,0.01965
MAX,cmc,0.14565
MAX,covtype_reduced,0.1061999999999999
MAX,default_credit_card_clients,0.0696
MAX,eeg,0.08165
MAX,HTRU,0.22215
MAX,jm1-processed,0.1135999999999999
MAX,letter-recognition,0.10975
MAX,magic,0.0591
MAX,mozilla,0.0432
MAX,namao,0.0197
MAX,occupancy,0.008
MAX,phoneme,0.06355
MAX,spambase,0.02515
MAX,winetype,0.0054
MS,1043_ada_agnostic,0.0521999999999999
MS,1048_jEdit_4,0.1784
MS,1049_pc4,0.05595
MS,1050_pc3,0.5
MS,1054_mc2,0.093
MS,1056_mc1,0.16005
MS,1061_ar4,0.17365
MS,1065_kc3,0.5
MS,1066_kc1-binary,0.0649
MS,1068_pc1,0.5
MS,1069_pc2,0.49895
MS,1071_mw1,0.23855
MS,1073_jEdit_4,0.127
MS,1075_datatrieve,0.5
MS,1115_teachingAssistant,0.28385
MS,1121_badges2,0.0
MS,1167_pc1_req,0.15535
MS,11_balance-scale,0.02825
MS,12_mfeat-factors,0.0059499999999999
MS,1456_appendicitis,0.17995
MS,1460_banana,0.3043
MS,1462_banknote-authentication,0.00555
MS,1464_blood-transfusion-service-center,0.1442999999999999
MS,1465_breast-tissue,0.2969
MS,1466_cardiotocography,0.0
MS,1467_climate-model-simulation-crashes,0.5
MS,1473_fertility,0.5
MS,1475_first-order-theorem-proving,0.07735
MS,1479_hill-valley,0.0575
MS,1484_lsvt,0.09325
MS,1485_madelon,0.15915
MS,1487_ozone-level-8hr,0.11305
MS,1488_parkinsons,0.0474
MS,1489_phoneme,0.07475
MS,1490_planning-relax,0.5
MS,1494_qsar-biodeg,0.05625
MS,1495_qualitative-bankruptcy,0.036
MS,1496_ringnorm,0.0572
MS,1497_wall-robot-navigation,0.0494
MS,1498_sa-heart,0.07425
MS,14_mfeat-fourier,0.01005
MS,1501_semeion,0.04445
MS,1504_steel-plates-fault,0.0
MS,1506_thoracic-surgery,0.5
MS,1507_twonorm,0.00885
MS,1508_user-knowledge,0.0294
MS,1510_wdbc,0.01515
MS,1511_wholesale-customers,0.03065
MS,1512_heart-long-beach,0.5
MS,1519_robot-failures-lp4,0.0575
MS,1520_robot-failures-lp5,0.30265
MS,1523_vertebra-column,0.01665
MS,1526_wall-robot-navigation,0.0914
MS,1527_volcanoes-a1,0.05115
MS,1528_volcanoes-a2,0.044
MS,1529_volcanoes-a3,0.04145
MS,1530_volcanoes-a4,0.0501
MS,1535_volcanoes-b5,0.08865
MS,1538_volcanoes-d1,0.5
MS,1539_volcanoes-d2,0.5
MS,1540_volcanoes-d3,0.2506
MS,1541_volcanoes-d4,0.24745
MS,1547_autoUniv-au1-1000,0.5
MS,1559_breast-tissue,0.1644
MS,1565_heart-h,0.06955
MS,1566_hill-valley,0.089
MS,1570_wilt,0.0477
MS,1600_SPECTF,0.06775
MS,16_mfeat-karhunen,0.01625
MS,182_satimage,0.0103
MS,187_wine,0.01075
MS,18_mfeat-morphological,0.0065
MS,20_mfeat-pixel,0.01565
MS,22_mfeat-zernike,0.0371
MS,23_cmc,0.08745
MS,28_optdigits,0.01725
MS,292_Australian,0.04155
MS,294_satellite_image,0.0127
MS,30_page-blocks,0.06415
MS,311_oil_spill,0.18875
MS,312_scene,0.01355
MS,316_yeast_ml8,0.5
MS,329_hayes-roth,0.1318
MS,333_monks-problems-1,0.1156
MS,334_monks-problems-2,0.5
MS,335_monks-problems-3,0.1974
MS,336_SPECT,0.2042
MS,36_segment,0.0044
MS,375_JapaneseVowels,0.01935
MS,377_synthetic_control,0.00395
MS,37_diabetes,0.0736
MS,40474_thyroid-allbp,0.05355
MS,40475_thyroid-allhyper,0.06335
MS,40496_LED-display-domain-7digit,0.10175
MS,40733_yeast,0.2579
MS,40877_seeds,0.0233
MS,40_sonar,0.05305
MS,43_haberman,0.19955
MS,44_spambase,0.0217
MS,450_analcatdata_lawsuit,0.2398
MS,4538_GesturePhaseSegmentationProcessed,0.11895
MS,458_analcatdata_authorship,0.0035499999999999
MS,461_analcatdata_creditscore,0.0393
MS,463_backache,0.5
MS,464_prnn_synth,0.0358
MS,48_tae,0.3069
MS,53_heart-statlog,0.1259
MS,54_vehicle,0.0289999999999999
MS,59_ionosphere,0.0458
MS,60_waveform-5000,0.03095
MS,61_iris,0.0
MS,679_rmftsa_sleepdata,0.5
MS,694_diggle_table_a2,0.01595
MS,AedesQuinx,0.0399
MS,AedesSex,0.0112
MS,anuranCalls,0.00795
MS,ArabicDigit,0.00935
MS,BNG,0.02265
