Method,Dataset,MAE
BASELINE+TOP1,letter-recognition,0.2904666666666667
BASELINE+TOP1,magic,0.0569866666666666
BASELINE+TOP1,mozilla,0.0686
BASELINE+TOP1,namao,0.0184333333333333
BASELINE+TOP1,occupancy,0.0074316666666666
BASELINE+TOP1,phoneme,0.1200383333333333
BASELINE+TOP1,spambase,0.0267116666666666
BASELINE+TOP1,winetype,0.0039199999999999
BASELINE+TOP3+MEAN,1043_ada_agnostic,0.0641872222222222
BASELINE+TOP3+MEAN,1069_pc2,0.4125727777777777
BASELINE+TOP3+MEAN,11_balance-scale,0.0192822222222222
BASELINE+TOP3+MEAN,12_mfeat-factors,0.0106805555555555
BASELINE+TOP3+MEAN,1460_banana,0.1752716666666667
BASELINE+TOP3+MEAN,1462_banknote-authentication,0.0055183333333333
BASELINE+TOP3+MEAN,1466_cardiotocography,0.0044983333333333
BASELINE+TOP3+MEAN,1475_first-order-theorem-proving,0.0709355555555555
BASELINE+TOP3+MEAN,1479_hill-valley,0.0696161111111111
BASELINE+TOP3+MEAN,1485_madelon,0.0971127777777777
BASELINE+TOP3+MEAN,1489_phoneme,0.0652216666666666
BASELINE+TOP3+MEAN,1494_qsar-biodeg,0.0541211111111111
BASELINE+TOP3+MEAN,1496_ringnorm,0.0576705555555555
BASELINE+TOP3+MEAN,1497_wall-robot-navigation,0.0442672222222222
BASELINE+TOP3+MEAN,14_mfeat-fourier,0.0148061111111111
BASELINE+TOP3+MEAN,1504_steel-plates-fault,0.0017777777777777
BASELINE+TOP3+MEAN,1507_twonorm,0.0057294444444444
BASELINE+TOP3+MEAN,1510_wdbc,0.0093027777777777
BASELINE+TOP3+MEAN,1526_wall-robot-navigation,0.0509083333333333
BASELINE+TOP3+MEAN,1527_volcanoes-a1,0.0495211111111111
BASELINE+TOP3+MEAN,1535_volcanoes-b5,0.1064072222222221
BASELINE+TOP3+MEAN,1538_volcanoes-d1,0.2936344444444445
BASELINE+TOP3+MEAN,1539_volcanoes-d2,0.2889272222222222
BASELINE+TOP3+MEAN,1540_volcanoes-d3,0.1602177777777777
BASELINE+TOP3+MEAN,1541_volcanoes-d4,0.1757566666666666
BASELINE+TOP3+MEAN,1547_autoUniv-au1-1000,0.2113522222222222
BASELINE+TOP3+MEAN,1566_hill-valley,0.1063616666666666
BASELINE+TOP3+MEAN,1570_wilt,0.1330422222222222
BASELINE+TOP3+MEAN,16_mfeat-karhunen,0.0247661111111111
BASELINE+TOP3+MEAN,182_satimage,0.0061461111111111
BASELINE+TOP3+MEAN,18_mfeat-morphological,0.0096927777777777
BASELINE+TOP3+MEAN,20_mfeat-pixel,0.0211061111111111
BASELINE+TOP3+MEAN,22_mfeat-zernike,0.0427277777777777
BASELINE+TOP3+MEAN,23_cmc,0.0846077777777778
BASELINE+TOP3+MEAN,28_optdigits,0.0230494444444444
BASELINE+TOP3+MEAN,292_Australian,0.0302716666666666
BASELINE+TOP3+MEAN,294_satellite_image,0.0102422222222222
BASELINE+TOP3+MEAN,30_page-blocks,0.033865
BASELINE+TOP3+MEAN,312_scene,0.0093883333333333
BASELINE+TOP3+MEAN,333_monks-problems-1,0.0827911111111111
BASELINE+TOP3+MEAN,334_monks-problems-2,0.2697227777777777
BASELINE+TOP3+MEAN,335_monks-problems-3,0.0466761111111111
BASELINE+TOP3+MEAN,36_segment,0.0070583333333333
BASELINE+TOP3+MEAN,375_JapaneseVowels,0.0156733333333333
BASELINE+TOP3+MEAN,37_diabetes,0.0820694444444444
BASELINE+TOP3+MEAN,40474_thyroid-allbp,0.0676655555555555
BASELINE+TOP3+MEAN,40475_thyroid-allhyper,0.0702527777777777
BASELINE+TOP3+MEAN,40733_yeast,0.1531061111111111
BASELINE+TOP3+MEAN,44_spambase,0.0271
BASELINE+TOP3+MEAN,4538_GesturePhaseSegmentationProcessed,0.1174188888888889
BASELINE+TOP3+MEAN,458_analcatdata_authorship,0.0055144444444444
BASELINE+TOP3+MEAN,54_vehicle,0.0206733333333333
BASELINE+TOP3+MEAN,60_waveform-5000,0.0383605555555555
BASELINE+TOP3+MEAN,679_rmftsa_sleepdata,0.2563894444444444
BASELINE+TOP3+MEAN,AedesQuinx,0.0339783333333333
BASELINE+TOP3+MEAN,AedesSex,0.0075305555555555
BASELINE+TOP3+MEAN,anuranCalls,0.0154355555555555
BASELINE+TOP3+MEAN,ArabicDigit,0.0046488888888889
BASELINE+TOP3+MEAN,BNG,0.0073522222222222
BASELINE+TOP3+MEAN,click-prediction,0.2133616666666666
BASELINE+TOP3+MEAN,cmc,0.0793511111111111
BASELINE+TOP3+MEAN,covtype_reduced,0.0509322222222222
BASELINE+TOP3+MEAN,default_credit_card_clients,0.1253788888888888
BASELINE+TOP3+MEAN,eeg,0.1225177777777777
BASELINE+TOP3+MEAN,HTRU,0.0270794444444444
BASELINE+TOP3+MEAN,jm1-processed,0.1275283333333333
BASELINE+TOP3+MEAN,letter-recognition,0.2052149999999999
BASELINE+TOP3+MEAN,magic,0.0468583333333333
BASELINE+TOP3+MEAN,mozilla,0.0423244444444444
BASELINE+TOP3+MEAN,namao,0.0125333333333333
BASELINE+TOP3+MEAN,occupancy,0.0078944444444444
BASELINE+TOP3+MEAN,phoneme,0.0768988888888888
BASELINE+TOP3+MEAN,spambase,0.0242922222222222
BASELINE+TOP3+MEAN,winetype,0.0030999999999999
BASELINE+TOP3+MEDIAN,1043_ada_agnostic,0.050375
BASELINE+TOP3+MEDIAN,1069_pc2,0.4358816666666666
BASELINE+TOP3+MEDIAN,11_balance-scale,0.0189716666666666
BASELINE+TOP3+MEDIAN,12_mfeat-factors,0.0075216666666666
BASELINE+TOP3+MEDIAN,1460_banana,0.1483416666666666
BASELINE+TOP3+MEDIAN,1462_banknote-authentication,0.0044583333333333
BASELINE+TOP3+MEDIAN,1466_cardiotocography,0.0004933333333333
BASELINE+TOP3+MEDIAN,1475_first-order-theorem-proving,0.0508349999999999
BASELINE+TOP3+MEDIAN,1479_hill-valley,0.0333733333333333
BASELINE+TOP3+MEDIAN,1485_madelon,0.0832616666666666
BASELINE+TOP3+MEDIAN,1489_phoneme,0.0422783333333333
BASELINE+TOP3+MEDIAN,1494_qsar-biodeg,0.05968
